date,Y,diff,abs_diff
2025-09-15,1.5717356391673678,2.8156743777233633,2.8156743777233633
2025-09-12,-1.2439387385559957,-2.8156743777233633,2.8156743777233633
2025-08-29,1.5717356391673678,2.400323444504061,2.400323444504061
2025-10-10,-1.3944076872136504,-2.376214833983677,2.376214833983677
2025-10-31,-1.3944076872136504,-2.2594446848923426,2.2594446848923426
2025-08-25,-1.008599699678192,-2.228348009591116,2.228348009591116
2025-09-08,-0.6415884465656428,-2.2133240857330105,2.2133240857330105
2025-09-04,1.5717356391673678,1.9405607023640998,1.9405607023640998
2025-08-21,-0.3584146882305657,-1.9301503273979335,1.9301503273979335
2025-07-23,1.5717356391673678,1.9111490697052704,1.9111490697052704
2025-09-18,-0.8882499730627809,-1.8619449372105097,1.8619449372105097
2025-09-22,1.2719123732579978,1.8024347963615517,1.8024347963615517
2025-10-09,0.9818071467700266,1.7689711017072764,1.7689711017072764
2025-09-09,1.1082215614396391,1.7498100080052819,1.7498100080052819
2025-08-22,1.2197483099129236,1.5781629981434893,1.5781629981434893
