industry,model,rmse,mae,dir_acc
动漫,ARIMA,2.056826104324198,1.233810483810185,0.47058823529411764
动漫,ARIMAX,1.067497610930176,0.9479436255273661,0.8235294117647058
动漫,Boosting,1.3607025309948095,0.7508245771714303,0.9411764705882353
动漫,RandomForest,1.1374406647113147,0.6546707454333366,0.8823529411764706
家电,ARIMA,0.34921433883392183,0.25949866500391544,0.8823529411764706
家电,ARIMAX,0.6632058146174339,0.5722255278789605,0.23529411764705882
家电,Boosting,0.30654501362334535,0.21920408316062967,0.8823529411764706
家电,RandomForest,0.3331222170092512,0.26891041803005467,0.8823529411764706
文娱,ARIMA,0.8142080285083622,0.470421184644986,0.8823529411764706
文娱,ARIMAX,0.5924214223529682,0.4471562795989758,0.5882352941176471
文娱,Boosting,0.5248794459324421,0.42204607417484113,0.5882352941176471
文娱,RandomForest,0.4238397413725714,0.3478520282278048,0.6470588235294118
旅游,ARIMA,1.0685782093818235,1.0166461893160834,0.11764705882352941
旅游,ARIMAX,0.45566138817712415,0.37939745175651773,0.8235294117647058
旅游,Boosting,0.7219031859582479,0.6385607648853684,0.7058823529411765
旅游,RandomForest,0.6254191556762935,0.5674189671725329,0.7058823529411765
汽车,ARIMA,2.1496010637516085,2.097370834691881,0.35294117647058826
汽车,ARIMAX,0.4047094318180167,0.30794602307381197,0.7058823529411765
汽车,Boosting,0.4309851745859641,0.34811744264838795,0.5882352941176471
汽车,RandomForest,0.4768406745028468,0.3855301358068926,0.5882352941176471
餐饮,ARIMA,0.6342690960641612,0.5622745127314719,0.35294117647058826
餐饮,ARIMAX,0.6562496257322263,0.5647642669363006,0.7647058823529411
餐饮,Boosting,0.26319051604244054,0.2243311959520318,0.7647058823529411
餐饮,RandomForest,0.2562356410510577,0.19883090092839883,0.7647058823529411
