industry,model,param,coef
餐饮,enhanced,const,-0.25723680135047433
餐饮,enhanced,D_star,0.03970522115547079
餐饮,enhanced,D_sq,0.4351441729874607
餐饮,enhanced,M1_star,0.008435563829379697
餐饮,enhanced,M2_star,0.38650443430206427
餐饮,enhanced,M1_times_M2,-0.0693418629949222
餐饮,enhanced,D_times_PMI,0.015057855030496836
餐饮,enhanced,VOL_sq,0.07100638237708992
动漫,enhanced,const,0.027134693406417068
动漫,enhanced,D_star,0.23664215581497558
动漫,enhanced,D_sq,0.2479347689362622
动漫,enhanced,M1_star,-0.08483683456260822
动漫,enhanced,M2_star,0.46706812683785226
动漫,enhanced,M1_times_M2,-0.02822639130681026
动漫,enhanced,D_times_PMI,-0.027044391169022713
动漫,enhanced,VOL_sq,-0.012954330779259986
汽车,enhanced,const,0.01350839446764741
汽车,enhanced,D_star,0.1414934994297533
汽车,enhanced,D_sq,0.3012113567021012
汽车,enhanced,M1_star,-0.02319877481786542
汽车,enhanced,M2_star,0.4296453412370266
汽车,enhanced,M1_times_M2,-0.02227417890352221
汽车,enhanced,D_times_PMI,-0.04470878038883748
汽车,enhanced,VOL_sq,-0.05099277753606678
文娱,enhanced,const,-0.025127619338940532
文娱,enhanced,D_star,0.2076099147852512
文娱,enhanced,D_sq,0.3873534190203366
文娱,enhanced,M1_star,0.002340941672487107
文娱,enhanced,M2_star,0.38288162493011907
文娱,enhanced,M1_times_M2,-0.07544255165883261
文娱,enhanced,D_times_PMI,0.01176852327447982
文娱,enhanced,VOL_sq,-0.003564043826973326
旅游,enhanced,const,0.07092415716039273
旅游,enhanced,D_star,0.17388982117804372
旅游,enhanced,D_sq,0.27699288629707663
旅游,enhanced,M1_star,-0.12230070597505058
旅游,enhanced,M2_star,0.5995856595161433
旅游,enhanced,M1_times_M2,-0.03813285306417892
旅游,enhanced,D_times_PMI,-0.03264814346198083
旅游,enhanced,VOL_sq,-0.049598595166089145
家电,enhanced,const,-0.11272272117927272
家电,enhanced,D_star,0.29306049135346307
家电,enhanced,D_sq,0.34973705488958895
家电,enhanced,M1_star,-0.11109230097240691
家电,enhanced,M2_star,0.437329284602907
家电,enhanced,M1_times_M2,-0.05904288421612504
家电,enhanced,D_times_PMI,-0.07784924940543281
家电,enhanced,VOL_sq,0.08664224897369346
